,,,,,,,,,,,,,,,
"#","Nodes",,,,,,,,,,,,,,,
"#","Name","Color","Parent","Start","Stop","Icon","Description","[Namechange","When","Description","[Namechange","When","Description",". . . ]]",,
"N","Debian","#bf1238",,"1993.8.16",,,"http://www.debian.org",,,,,,,,,
"N","Ubuntu","#e95420","Debian","2004.10.20",,,"http://www.ubuntu.com/",,,,,,,,,
"N","Kubuntu","#4f5695","Ubuntu","2005.4.8",,,"http://www.kubuntu.org/",,,,,,,,,
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",,,"http://www.xubuntu.org/",,,,,,,,,
"N","Linux Mint","#5fec52","Ubuntu","2006.8.27",,,"http://www.linuxmint.com/",,,,,,,,,
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",,,"http://lubuntu.net/",,,,,,,,,
"N","Elementary OS","#47A8E9","Ubuntu","2011.3.31",,,"http://elementaryos.org/",,,,,,,,,
"N","Ubuntu MATE","#93ae67","Ubuntu","2015.2",,,"http://www.ubuntu-mate.org/",,,,,,,,,
"N","KDE Neon","#0AB23B","Ubuntu","2016.04.20",,,"https://neon.kde.org/",,,,,,,,,
"N","Budgie-Remix","#404455","Ubuntu","2016.04.24",,,"https://budgie-remix.org/","Ubuntu Budgie","2017.04.13","https://ubuntubudgie.org/",,,,,,
"N","Pop OS","#48B9C7","Ubuntu","2017.06.29",,,"https://system76.com/pop",,,,,,,,,
"N","Linux Mint Debian Edition","#5fec52","Debian","2010.9.7",,,"http://linuxmint.com/",,,,,,,,,
"N","SteamOS","#b55afb","Debian","2013.09.23",,,"http://store.steampowered.com/steamos/",,,,,,,,,
,,,,,,,,,,,,,,,
"N","SLS","#9c8ac4",,"1992.6","1994.1",,"http://en.wikipedia.org/wiki/Softlanding_Linux_System",,,,,,,,,
"N","Slackware","#000","SLS","1993.7.16",,,"http://www.slackware.com/",,,,,,,,,
"N","S.u.S.E","#438643","Slackware","1994.3",,,"https://en.wikipedia.org/wiki/SUSE_Linux_distributions","SuSE","1998.12","https://www.suse.com/","SUSE","2003.10.24","https://www.suse.com/",,,
"N","OpenSUSE","#7ac142","S.u.S.E","2006.12.7",,,"http://www.opensuse.org/",,,,,,,,,
,,,,,,,,,,,,,,,
"N","Red Hat","#cc0000",,"1994.11.3",,,"http://www.redhat.com/","Red Hat Enterprise","2002.3.26","http://www.redhat.com/",,,,,,
"N","Fedora Core","#362e94","Red Hat","2003.11.6",,,"http://fedoraproject.org/","Fedora","2007.5.31","http://fedoraproject.org/",,,,,,
"N","CentOS","#6f4376","Red Hat","2003.12.1",,,"http://centos.org/",,,,,,,,,
"N","Oracle Enterprise","#f00","Red Hat","2006.10.25",,,"http://www.oracle.com/us/technologies/linux/index.htm","Oracle Linux","2007.6.26","http://www.oracle.com/linux/",,,,,,
,,,,,,,,,,,,,,,,
"N","Enoch","#a0a0f0",,"1999.12",,,"http://www.gentoo.org/","Gentoo","2002.3.31","http://www.gentoo.org/",,,,,,
,,,,,,,,,,,,,,,
"N","Arch","#0771a6",,"2002.3.11",,,"http://www.archlinux.org/",,,,,,,,,
"N","Manjaro","#3fbb3f","Arch","2011.7.9",,,"https://manjaro.org/",,,,,,,,,
"N","Cinnarch","#214084","Arch","2012.7.19",,,"http://sourceforge.net/projects/cinnarch/","Antergos","2013.5.12","http://antergos.com/",,,,,,
,,,,,,,,,,,,,,,
